time	Pu1	Gata1
0.0	5.0	5.0
50.0332126948	16.0443614925	14.9279330778
100.021282809	18.0788652162	17.1272217262
150.011087417	18.5199417975	19.149415296
200.001506578	18.8844929285	19.9349448836
250.00014538	19.0298584124	19.8841639019
300.001090329	18.0949637782	21.4780931626
350.031713414	17.3414308834	21.924230249
400.038298926	16.6004465584	22.1254569385
450.03347063	16.6573007983	23.8988982844
500.021691083	17.4904028051	21.0684468757
550.028230294	19.5294300921	21.4312801782
600.007433835	20.7754730821	20.7058379657
650.002706911	20.6011604599	20.2757031544
700.023050409	19.1849202861	20.0049692851
750.044707432	18.7589883315	20.8492343083
800.012939148	18.3354277098	21.0606467526
850.003142498	18.3867045524	20.6749170003
900.003612784	17.8328218378	19.8902859412
950.08562633	18.1903801883	19.2066970938
1000.03689	19.1620312785	20.9776208207
1050.01882534	19.5446170521	20.1674014782
1100.01738218	19.4817724905	19.3685378651
1150.01572707	21.1196942218	19.0459369698
1200.07652145	22.0862492591	18.2776142086
1250.02199259	21.3763860804	18.9479779084
1300.01944807	20.124318973	19.4133098786
1350.01652951	20.642331933	20.424273504
1400.00817586	20.0007042927	21.4678177716
1450.00452611	20.1974742325	19.812935943
1500.00474259	21.6050691883	19.1703423487
1550.0150323	19.964186977	19.4728971948
1600.0048642	18.4236567558	20.5341239984
1650.00354001	19.591831446	20.2051207188
1700.02333682	20.5446985631	20.9744309639
1750.00522503	21.2026425122	20.2509296098
1800.01500367	21.1396522722	19.7254666282
1850.00609727	21.2347661644	19.4803927458
1900.00455308	19.7836045704	19.4660776082
1950.02077085	20.4885795073	20.3331779957
2000.00340647	19.5816054304	19.768554729
2050.01514061	19.2219664184	20.3863591419
2100.00229963	18.8177982236	20.3393665333
2150.02165015	18.4800649918	19.7912214604
2200.00497937	17.9591362878	20.9728079002
2250.01658829	19.7847620546	19.8504683085
2300.00840934	18.963688202	19.2602727007
2350.01122615	17.6062734594	22.3569229893
2400.08905309	16.8152748071	23.2861013993
2450.01423964	16.4849282133	23.4166364477
2500.01077549	16.7292706687	22.881329371
2550.01054405	16.8225938913	22.6669575493
2600.0141105	17.1889821496	21.9293133535
2650.021164	17.5253181084	22.1042152644
2700.03043158	18.3423435939	21.2534848405
2750.04680271	18.8937796837	20.3101801047
2800.02280118	18.9442426223	20.9679027862
2850.0009706	18.3442736385	20.0418546983
2900.00151533	20.4696980787	20.1780786652
2950.01257114	20.4136459123	19.8514804006
3000.00847341	21.0574641573	18.7717684109
3050.02094388	22.7798393605	17.8518872219
3100.02023611	23.4486034535	17.4397958912
3150.02758115	23.7587888602	16.515617525
3200.00948297	23.2436604158	17.0204626451
3250.00841762	22.5812207904	17.4979239804
3300.03936837	22.1142087262	17.3533681416
3350.02090887	22.6365483207	18.9147139466
3400.06632302	21.3381889119	19.0496639536
3450.0416844	20.5845254015	18.1786753363
3500.04077408	21.626057054	17.4985330757
3550.06582365	22.2585825883	19.1570893822
3600.01175487	21.3488495525	20.2865184254
3650.01226596	22.2381216097	19.1095728445
3700.00285277	22.1365554031	18.0581185226
3750.00792365	20.9614630233	18.9330324951
3800.04263463	21.5891085857	19.3889506777
3850.00056959	21.0864917446	20.4139411885
3900.03994836	20.560208044	19.0587330383
3950.00036164	20.0633525093	20.7559991311
4000.03900724	19.6259351219	19.2475418947
4050.00162491	19.0515194838	19.3850102786
4100.01786771	19.2593308757	21.3635515517
4150.00825795	19.8861363252	21.6010324366
4200.01058748	18.6224084614	23.2498793767
4250.02095304	17.7800517111	22.3929138413
4300.04757877	17.5216214666	22.4715420419
4350.03300525	18.7493714907	21.6308135119
4400.04219955	17.5807521139	23.2470638151
4450.00160629	17.8005737346	22.9763384722
4500.02330277	16.3755296646	23.0855607831
4550.00105984	16.7049677143	23.9881830507
4600.01603299	17.1419854372	25.2000376202
4650.00938586	16.9814013429	23.5728190252
4700.06792641	18.2145665325	22.9684411082
4750.06677963	17.2563636361	21.5330079518
4800.02357334	19.4674872776	21.9295777866
4850.00376614	18.5098846008	22.4286714077
4900.0015546	19.2236083135	21.4472207688
4950.0710587	20.5269723045	20.3770706709
5000.04514664	19.5954402197	19.9031881582
5050.02517823	19.0965834268	19.9512727723
5100.00976218	18.8916119422	19.8488747045
5150.0178794	18.5673956767	20.1342299036
5200.01264547	18.954774499	19.9979087814
5250.00344007	20.5301303572	18.62991744
5300.00201636	21.34524229	18.8270258647
5350.001626	21.288068112	18.613150966
5400.07645193	21.1018590292	16.8235214925
5450.00399584	20.9520715125	16.9980633378
5500.02918852	21.1911801133	18.3476884382
5550.040328	19.7689573455	20.2034844437
5600.00450384	20.8438330274	20.8395612218
5650.04463029	21.2848583726	20.2106314067
5700.01052343	20.063050436	21.0682836598
5750.01024468	18.4917544108	20.5760267393
5800.00011877	19.6721511882	21.0225575185
5850.00718373	19.2574543096	20.9160064993
5900.06432064	19.5075181742	21.6920509737
5950.00928818	18.7419964049	20.8085391927
6000.02609701	19.4322677993	21.5982530264
6050.03022391	17.801412156	21.5113975696
6100.00255497	17.9453979689	22.3695131849
6150.00989049	17.4837102714	21.2047966825
6200.00631352	17.7651959274	21.5082626392
6250.02565062	17.6740079097	21.2176336588
6300.00923365	17.6034029835	21.5824337153
6350.10662965	18.3417616627	22.3852034509
6400.0037528	16.8980837081	23.3227916918
6450.00963208	16.8076223933	23.9242637125
6500.03271986	16.7682587284	22.3454870985
6550.0208586	16.7387825622	23.3195155211
6600.01125827	16.377604283	24.4219278895
6650.00495119	16.7395695268	22.7363307376
6700.0060059	17.5082062175	22.7008551725
6750.0522477	17.4807464	22.2137014794
6800.00582899	17.3776513573	23.6431868638
6850.00355458	17.4202438817	23.9841776938
6900.02356318	17.9990564383	23.5643355828
6950.03410275	19.4053270609	22.0307291289
7000.02681962	18.3228127278	20.6263058187
7050.06051115	18.4451338404	20.7610977039
7100.01428749	18.3319223412	20.1259403822
7150.00733954	18.5195620478	20.4533620992
7200.01350642	19.2183697753	20.5359099396
7250.00729243	19.6681924079	21.3211459836
